date,day,transect,siteID,length_m,t_lenth_m,gps_x,gps_y,sight_distance,group_bearing,road_bearing,groupsize,angle ,habitat,time,hours,fixtime,Precipitation
16-Dec-21,1,Awarot,AW1,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,12/16/21 06:00,12.871
16-Dec-21,1,Awarot,AW1,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,12/16/21 17:00,12.871
17-Dec-21,2,Awarot,AW2,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,12/17/21 06:00,12.871
17-Dec-21,2,Awarot,AW2,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,12/17/21 17:00,12.871
18-Dec-21,3,Awarot,AW3,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,12/18/21 06:00,12.871
18-Dec-21,3,Awarot,AW3,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,12/18/21 17:00,12.871
19-Dec-21,4,Awarot,AW4,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,12/19/21 06:00,12.871
19-Dec-21,4,Awarot,AW4,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,12/19/21 17:00,12.871
7-Jan-22,5,Awarot,AW5,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,1/7/22 06:00,12.871
7-Jan-22,5,Awarot,AW5,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,1/7/22 17:00,12.871
8-Jan-22,6,Awarot,AW6,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,1/8/22 06:00,12.871
8-Jan-22,6,Awarot,AW6,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,1/8/22 17:00,12.871
9-Jan-22,7,Awarot,AW7,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,1/9/22 06:00,12.871
9-Jan-22,7,Awarot,AW7,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,1/9/22 17:00,12.871
17-Mar-22,8,Awarot,AW8,5739,15169,583662,9934743,5,133,133,1,0,Open,morning,06:00,3/17/22 06:00,56.735
17-Mar-22,8,Awarot,AW8,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,3/17/22 17:00,12.871
18-Mar-22,9,Awarot,AW9,5739,15169,584062,9934568,60,65,128,4,63,Open,morning,06:00,3/18/22 06:00,0
18-Mar-22,9,Awarot,AW9,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,3/18/22 17:00,12.871
21-Mar-22,10,Awarot,AW10,5739,15169,583466,9934857,35,30,125,5,85,Open,evening,17:00,3/21/22 17:00,0
21-Mar-22,10,Awarot,AW10,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,3/21/22 06:00,12.871
22-Mar-22,11,Awarot,AW11,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,3/22/22 06:00,12.871
22-Mar-22,11,Awarot,AW11,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,3/22/22 17:00,12.871
23-Mar-22,12,Awarot,AW12,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,3/23/22 06:00,12.871
23-Mar-22,12,Awarot,AW12,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,3/23/22 17:00,12.871
18-Apr-22,13,Awarot,AW13,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,4/18/22 06:00,12.871
18-Apr-22,13,Awarot,AW13,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,4/18/22 17:00,12.871
19-Apr-22,14,Awarot,AW14,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,4/19/22 06:00,12.871
19-Apr-22,14,Awarot,AW14,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,4/19/22 17:00,12.871
20-Apr-22,15,Awarot,AW15,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,4/20/22 06:00,12.871
20-Apr-22,15,Awarot,AW15,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,4/20/22 17:00,12.871
23-May-22,16,Awarot,AW16,5739,15169,581263,9936881,129,220,130,2,90,Open,morning,06:00,5/23/22 06:00,1.8062
23-May-22,16,Awarot,AW16,5739,15169,582591,9935502,20,210,140,1,70,Open,morning,06:00,5/23/22 06:00,3.4725
23-May-22,16,Awarot,AW16,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,5/23/22 17:00,12.871
24-May-22,17,Awarot,AW17,5739,15169,581288,9936853,21,88,116,1,28,Open,morning,06:00,5/24/22 06:00,1.9045
24-May-22,17,Awarot,AW17,5739,15169,580066,9937573,0,0,0,0,0,,evening,17:00,5/24/22 17:00,12.871
25-May-22,18,Awarot,AW18,5739,15169,584431,9934457,199,360,110,9,70,Open,morning,06:00,5/25/22 06:00,0
25-May-22,18,Awarot,AW18,5739,15169,580343,9937432,27,210,142,4,68,Open,evening,17:00,5/25/22 17:00,29.1549
25-May-22,18,Awarot,AW18,5739,15169,582635,9935465,59,140,140,3,0,Open,evening,17:00,5/25/22 17:00,0
26-May-22,19,Awarot,AW19,5739,15169,582759,9935359,46,42,138,7,84,Closed,evening,17:00,5/26/22 17:00,0
26-May-22,19,Awarot,AW19,5739,15169,580066,9937573,0,0,0,0,0,,morning,06:00,5/26/22 06:00,12.871
16-Dec-21,1,Bouralgy,BO1,3078,15169,575287,9944119,5,180,180,1,0,,morning,06:00,12/16/21 06:00,0
16-Dec-21,1,Bouralgy,BO1,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,12/16/21 17:00,0
17-Dec-21,2,Bouralgy,BO2,3078,15169,575287,9944119,0,0,0,0,0,,morning,06:00,12/17/21 06:00,0
17-Dec-21,2,Bouralgy,BO2,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,12/17/21 17:00,0
18-Dec-21,3,Bouralgy,BO3,3078,15169,575287,9944119,0,0,0,0,0,,morning,06:00,12/18/21 06:00,0
18-Dec-21,3,Bouralgy,BO3,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,12/18/21 17:00,0
19-Dec-21,4,Bouralgy,BO4,3078,15169,575287,9944119,0,0,0,0,0,,morning,06:00,12/19/21 06:00,0
19-Dec-21,4,Bouralgy,BO4,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,12/19/21 17:00,0
7-Jan-22,5,Bouralgy,BO5,3078,15169,576095,9942738,49,20,104,4,84,Mixed,morning,06:00,1/7/22 06:00,0
7-Jan-22,5,Bouralgy,BO5,3078,15169,576247,9942708,62,114,170,4,56,Open,morning,06:00,1/7/22 06:00,0
7-Jan-22,5,Bouralgy,BO5,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,1/7/22 17:00,0
8-Jan-22,6,Bouralgy,BO6,3078,15169,575287,9944119,0,0,0,0,0,,morning,06:00,1/8/22 06:00,0
8-Jan-22,6,Bouralgy,BO6,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,1/8/22 17:00,0
9-Jan-22,7,Bouralgy,BO7,3078,15169,575287,9944119,0,0,0,0,0,,morning,06:00,1/9/22 06:00,0
9-Jan-22,7,Bouralgy,BO7,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,1/9/22 17:00,0
17-Mar-22,8,Bouralgy,BO8,3078,15169,576560,9942617,172,170,120,1,50,Mixed,morning,06:00,3/17/22 06:00,15.5327
17-Mar-22,8,Bouralgy,BO8,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,3/17/22 17:00,0
18-Mar-22,9,Bouralgy,BO9,3078,15169,574859,9944571,349,242,158,2,84,Mixed,morning,06:00,3/18/22 06:00,0
18-Mar-22,9,Bouralgy,BO9,3078,15169,575040,9944394,395,250,144,3,74,Mixed,morning,06:00,3/18/22 06:00,0
18-Mar-22,9,Bouralgy,BO9,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,3/18/22 17:00,0
21-Mar-22,10,Bouralgy,BO10,3078,15169,574929,9944482,49,240,130,2,70,Open,morning,06:00,3/21/22 06:00,0
21-Mar-22,10,Bouralgy,BO10,3078,15169,575025,9944403,20,218,124,3,86,Open,evening,17:00,3/21/22 17:00,0
22-Mar-22,11,Bouralgy,BO11,3078,15169,574970,9944448,503,228,133,1,85,Open,morning,06:00,3/22/22 06:00,0
22-Mar-22,11,Bouralgy,BO11,3078,15169,576207,9942733,86,42,100,7,58,Mixed,morning,06:00,3/22/22 06:00,0
22-Mar-22,11,Bouralgy,BO11,3078,15169,574926,9944486,164,228,131,6,83,Open,evening,17:00,3/22/22 17:00,0
23-Mar-22,12,Bouralgy,BO12,3078,15169,574891,9944525,508,70,140,1,70,Open,morning,06:00,3/23/22 06:00,0
23-Mar-22,12,Bouralgy,BO12,3078,15169,575163,9944294,232,230,140,1,90,Open,morning,06:00,3/23/22 06:00,0
23-Mar-22,12,Bouralgy,BO12,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,3/23/22 17:00,0
18-Apr-22,13,Bouralgy,BO13,3078,15169,574822,9944627,264,70,148,1,78,Open,morning,06:00,4/18/22 06:00,0
18-Apr-22,13,Bouralgy,BO13,3078,15169,575564,9943611,98,90,130,2,40,Open,morning,06:00,4/18/22 06:00,0
18-Apr-22,13,Bouralgy,BO13,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,4/18/22 17:00,0
19-Apr-22,14,Bouralgy,BO14,3078,15169,575287,9944119,0,0,0,0,0,,morning,06:00,4/19/22 06:00,0
19-Apr-22,14,Bouralgy,BO14,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,4/19/22 17:00,0
20-Apr-22,15,Bouralgy,BO15,3078,15169,574787,9944687,204,220,133,9,87,Open,morning,06:00,4/20/22 06:00,0
20-Apr-22,15,Bouralgy,BO15,3078,15169,574847,9944589,244,220,159,10,61,Open,morning,06:00,4/20/22 06:00,0
20-Apr-22,15,Bouralgy,BO15,3078,15169,576580,9942609,43,185,115,4,70,Open,morning,06:00,4/20/22 06:00,0
20-Apr-22,15,Bouralgy,BO15,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,4/20/22 17:00,0
23-May-22,16,Bouralgy,BO16,3078,15169,574785,9944684,147,220,160,4,60,Open,morning,06:00,5/23/22 06:00,0
23-May-22,16,Bouralgy,BO16,3078,15169,574903,9944513,320,220,169,5,51,Open,morning,06:00,5/23/22 06:00,0
23-May-22,16,Bouralgy,BO16,3078,15169,576424,9942677,55,200,110,1,90,Open,morning,06:00,5/23/22 06:00,0
23-May-22,16,Bouralgy,BO16,3078,15169,575287,9944119,0,0,0,0,0,,morning,06:00,5/23/22 06:00,0
23-May-22,16,Bouralgy,BO16,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,5/23/22 17:00,0
24-May-22,17,Bouralgy,BO17,3078,15169,574783,9944688,181,140,140,1,0,Open,morning,06:00,5/24/22 06:00,0
24-May-22,17,Bouralgy,BO17,3078,15169,576139,9942562,18,20,110,1,90,Open,morning,06:00,5/24/22 06:00,0
24-May-22,17,Bouralgy,BO17,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,5/24/22 17:00,0
25-May-22,18,Bouralgy,BO18,3078,15169,574995,9944405,179,190,150,14,40,Open,morning,06:00,5/25/22 06:00,0
25-May-22,18,Bouralgy,BO18,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,5/25/22 17:00,0
26-May-22,19,Bouralgy,BO19,3078,15169,574883,9944535,267,220,150,6,70,Open,morning,06:00,5/26/22 06:00,0
26-May-22,19,Bouralgy,BO19,3078,15169,575287,9944119,0,0,0,0,0,,evening,17:00,5/26/22 17:00,0
16-Dec-21,1,Bula salam,BU1,3170,15169,576638,9942521,0,0,0,0,0,,morning,06:00,12/16/21 06:00,12.6856
16-Dec-21,1,Bula salam,BU1,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,12/16/21 17:00,12.6856
17-Dec-21,2,Bula salam,BU2,3170,15169,576638,9942521,0,0,0,0,0,,morning,06:00,12/17/21 06:00,12.6856
17-Dec-21,2,Bula salam,BU2,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,12/17/21 17:00,12.6856
18-Dec-21,3,Bula salam,BU3,3170,15169,576638,9942521,0,0,0,0,0,,morning,06:00,12/18/21 06:00,12.6856
18-Dec-21,3,Bula salam,BU3,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,12/18/21 17:00,12.6856
19-Dec-21,4,Bula salam,BU4,3170,15169,576638,9942521,0,0,0,0,0,,morning,06:00,12/19/21 06:00,12.6856
19-Dec-21,4,Bula salam,BU4,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,12/19/21 17:00,12.6856
7-Jan-22,5,Bula salam,BU5,3170,15169,577232,9941918,38,80,150,2,70,Mixed,morning,06:00,1/7/22 06:00,0
7-Jan-22,5,Bula salam,BU5,3170,15169,577232,9941918,139,228,148,3,80,open,morning,06:00,1/7/22 06:00,0
7-Jan-22,5,Bula salam,BU5,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,1/7/22 17:00,12.6856
8-Jan-22,6,Bula salam,BU6,3170,15169,576638,9942521,0,0,0,0,0,,morning,06:00,1/8/22 06:00,12.6856
8-Jan-22,6,Bula salam,BU6,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,1/8/22 17:00,12.6856
9-Jan-22,7,Bula salam,BU7,3170,15169,576638,9942521,0,0,0,0,0,,morning,06:00,1/9/22 06:00,12.6856
9-Jan-22,7,Bula salam,BU7,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,1/9/22 17:00,12.6856
17-Mar-22,8,Bula salam,BU8,3170,15169,577203,9941973,85,238,160,4,78,Mixed,morning,06:00,3/17/22 06:00,19.8186
17-Mar-22,8,Bula salam,BU8,3170,15169,577965,9940269,30,256,148,4,72,Open,morning,06:00,3/17/22 06:00,0
17-Mar-22,8,Bula salam,BU8,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,3/17/22 17:00,12.6856
18-Mar-22,9,Bula salam,BU9,3170,15169,577269,9941832,285,213,167,4,46,Open,morning,06:00,3/18/22 06:00,0
18-Mar-22,9,Bula salam,BU9,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,3/18/22 17:00,12.6856
21-Mar-22,10,Bula salam,BU10,3170,15169,577078,9942160,119,215,148,1,67,Open,morning,06:00,3/21/22 06:00,7.8393
21-Mar-22,10,Bula salam,BU10,3170,15169,576625,9942580,17,350,124,4,46,Open,evening,17:00,3/21/22 17:00,0
22-Mar-22,11,Bula salam,BU11,3170,15169,577379,9941573,146,230,167,1,63,Open,morning,06:00,3/22/22 06:00,0
22-Mar-22,11,Bula salam,BU11,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,3/22/22 17:00,12.6856
23-Mar-22,12,Bula salam,BU12,3170,15169,577275,9941815,176,233,160,1,73,Open,morning,06:00,3/23/22 06:00,0
23-Mar-22,12,Bula salam,BU12,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,3/23/22 17:00,12.6856
18-Apr-22,13,Bula salam,BU13,3170,15169,576887,9942385,182,170,150,6,20,Mixed,morning,06:00,4/18/22 06:00,0
18-Apr-22,13,Bula salam,BU13,3170,15169,576909,9942371,212,218,150,3,68,Mixed,morning,06:00,4/18/22 06:00,0
18-Apr-22,13,Bula salam,BU13,3170,15169,577338,9941694,221,80,146,6,66,Open,morning,06:00,4/18/22 06:00,0
18-Apr-22,13,Bula salam,BU13,3170,15169,577602,9941046,134,220,162,4,58,Open,morning,06:00,4/18/22 06:00,0
18-Apr-22,13,Bula salam,BU13,3170,15169,577602,9941046,32,124,162,3,38,Open,morning,06:00,4/18/22 06:00,0
18-Apr-22,13,Bula salam,BU13,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,4/18/22 17:00,12.6856
19-Apr-22,14,Bula salam,BU14,3170,15169,576636,9942581,17,220,120,1,80,Open,morning,06:00,4/19/22 06:00,0
19-Apr-22,14,Bula salam,BU14,3170,15169,576782,9942481,53,40,130,3,90,Mixed,morning,06:00,4/19/22 06:00,0
19-Apr-22,14,Bula salam,BU14,3170,15169,577526,9941245,168,230,156,1,74,Closed,morning,06:00,4/19/22 06:00,0
19-Apr-22,14,Bula salam,BU14,3170,15169,577762,9940682,12,84,160,2,76,Open,morning,06:00,4/19/22 06:00,0
19-Apr-22,14,Bula salam,BU14,3170,15169,576867,9942410,162,236,135,7,79,Mixed,evening,17:00,4/19/22 17:00,0
19-Apr-22,14,Bula salam,BU14,3170,15169,578199,9939993,46,70,150,3,80,Mixed,evening,17:00,4/19/22 17:00,1.9709
20-Apr-22,15,Bula salam,BU15,3170,15169,577537,9941219,159,258,160,1,82,Open,morning,06:00,4/20/22 06:00,0
20-Apr-22,15,Bula salam,BU15,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,4/20/22 17:00,12.6856
23-May-22,16,Bula salam,BU16,3170,15169,577611,9941017,135,240,160,5,80,Open,morning,06:00,5/23/22 06:00,0
23-May-22,16,Bula salam,BU16,3170,15169,577718,9940769,46,80,148,4,68,Mixed,evening,17:00,5/23/22 17:00,0
24-May-22,17,Bula salam,BU17,3170,15169,576668,9942562,25,40,120,3,80,Open,morning,06:00,5/24/22 06:00,0
24-May-22,17,Bula salam,BU17,3170,15169,577814,9940575,31,76,150,2,74,Open,morning,06:00,5/24/22 06:00,0
24-May-22,17,Bula salam,BU17,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,5/24/22 17:00,12.6856
25-May-22,18,Bula salam,BU18,3170,15169,576767,9942498,147,200,150,6,50,Open,morning,06:00,5/25/22 06:00,1.1079
25-May-22,18,Bula salam,BU18,3170,15169,577751,9940304,154,230,160,2,70,Open,morning,06:00,5/25/22 06:00,30.0936
25-May-22,18,Bula salam,BU18,3170,15169,576638,9942521,0,0,0,0,0,,evening,17:00,5/25/22 17:00,12.6856
26-May-22,19,Bula salam,BU19,3170,15169,576727,9942513,452,222,120,8,78,Mixed,morning,06:00,5/26/22 06:00,0.8184
26-May-22,19,Bula salam,BU19,3170,15169,577075,9942162,58,220,150,2,70,Open,morning,06:00,5/26/22 06:00,5.1141
26-May-22,19,Bula salam,BU19,3170,15169,577289,9941790,23,78,140,1,62,Open,morning,06:00,5/26/22 06:00,0
26-May-22,19,Bula salam,BU19,3170,15169,577669,9940858,63,110,158,1,48,Mixed,morning,06:00,5/26/22 06:00,0
26-May-22,19,Bula salam,BU19,3170,15169,578192,9940003,25,228,146,1,82,Closed,evening,17:00,5/26/22 17:00,0
