Date,Location,Experiment,End_date,Days operation,Days_worked,Not used,Usage
28-Jun-22,Korakora,L-Control,30-Nov-22,155,0,155,
28-Jun-22,Korakora,L-Treatment,30-Nov-22,155,21,115,"light were removed and redistributed, used in tomato farm that they reported was helpful throughout"
28-Jun-22,Korakora,S-Treatement,30-Nov-22,155,60,95,Farm attendant left with the speak upon termination
28-Jun-22,Korakora,S-Control,30-Nov-22,155,0,155,
29-Jun-22,B.Bakari,L-Control,30-Nov-22,154,0,154,
29-Jun-22,B.Bakari,L-Treatment,30-Nov-22,154,71,79,the owner removed the floodlight once the mongoes were beyong vulnarble stage
29-Jun-22,B.Bakari,S-Control,30-Nov-22,154,0,154,
29-Jun-22,B.Bakari,S-Treatement,30-Nov-22,154,68,62,Neighbours compained about the sound putting livestock in distress
29-Jun-22,Awarot,S-Treatement,30-Nov-22,154,34,103,stolen
29-Jun-22,Awarot,S-Control,30-Nov-22,154,0,154,
29-Jun-22,Awarot,L-Treatment,30-Nov-22,154,44,109,The owner donkey broke the post and the owner stopped using them
29-Jun-22,Awarot,L-Control,30-Nov-22,154,0,154,
30-Jun-22,Jarirot,S-Treatement,30-Nov-22,153,2,31,Complained that the farm is very large and once giraffe are inside even when scared they just go into hidding within the farm
30-Jun-22,Jarirot,S-Control,30-Nov-22,153,0,153,
30-Jun-22,B.Salam,L-Treatment,30-Nov-22,153,10,143,Farm  lights to deter giraffe the first few day before they starting finding alternative routes into the farm where lights were not installed
30-Jun-22,B.Salam,L-Control,30-Nov-22,153,0,153,
30-Jun-22,B.Salam,S-Treatement,30-Nov-22,153,58,94,
30-Jun-22,B.Salam,S-Control,30-Nov-22,153,0,153,
1-Jul-22,Bouralgy,L-Treatment,30-Nov-22,152,0,152,light was used improperly form day one
1-Jul-22,Bouralgy,L-Control,30-Nov-22,152,0,152,
1-Jul-22,Bouralgy,S-Treatement,30-Nov-22,152,15,137,The owner never stayed in the farm and was afraid it would be stolen. Data was intermitent 
1-Jul-22,Bouralgy,S-Control,30-Nov-22,152,0,152,
1-Jul-22,Bouralgy,S-Treatement,30-Nov-22,152,92,60,Speaker broke from running with it chasing giraffes
1-Jul-22,Bouralgy,S-Control,30-Nov-22,152,0,152,
2-Jul-22,Bouralgy,L-Treatment,30-Nov-22,151,0,151,
2-Jul-22,Bouralgy,L-Control,30-Nov-22,151,0,151,
2-Jul-22,B.Gem,L-Treatment,30-Nov-22,151,0,151,
2-Jul-22,B.Gem,L-Control,30-Nov-22,151,0,151,
3-Jul-22,B.ADC,L-Treatment,30-Nov-22,150,0,150,
