site,siteID,length,day,town_proximity
Awarot,AW1,5739,1,Far
Awarot,AW2,5739,2,Far
Awarot,AW3,5739,3,Far
Awarot,AW4,5739,4,Far
Awarot,AW5,5739,5,Far
Awarot,AW6,5739,6,Far
Awarot,AW7,5739,7,Far
Awarot,AW8,5739,8,Far
Awarot,AW9,5739,9,Far
Awarot,AW10,5739,10,Far
Awarot,AW11,5739,11,Far
Awarot,AW12,5739,12,Far
Awarot,AW13,5739,13,Far
Awarot,AW14,5739,14,Far
Awarot,AW15,5739,15,Far
Awarot,AW16,5739,16,Far
Awarot,AW17,5739,17,Far
Awarot,AW18,5739,18,Far
Awarot,AW19,5739,19,Far
Bouralgy,BO1,3078,1,Close
Bouralgy,BO2,3078,2,Close
Bouralgy,BO3,3078,3,Close
Bouralgy,BO4,3078,4,Close
Bouralgy,BO5,3078,5,Close
Bouralgy,BO6,3078,6,Close
Bouralgy,BO7,3078,7,Close
Bouralgy,BO8,3078,8,Close
Bouralgy,BO9,3078,9,Close
Bouralgy,BO10,3078,10,Close
Bouralgy,BO11,3078,11,Close
Bouralgy,BO12,3078,12,Close
Bouralgy,BO13,3078,13,Close
Bouralgy,BO14,3078,14,Close
Bouralgy,BO15,3078,15,Close
Bouralgy,BO16,3078,16,Close
Bouralgy,BO17,3078,17,Close
Bouralgy,BO18,3078,18,Close
Bouralgy,BO19,3078,19,Close
Bula salam,BU1,3170,1,Close
Bula salam,BU2,3170,2,Close
Bula salam,BU3,3170,3,Close
Bula salam,BU4,3170,4,Close
Bula salam,BU5,3170,5,Close
Bula salam,BU6,3170,6,Close
Bula salam,BU7,3170,7,Close
Bula salam,BU8,3170,8,Close
Bula salam,BU9,3170,9,Close
Bula salam,BU10,3170,10,Close
Bula salam,BU11,3170,11,Close
Bula salam,BU12,3170,12,Close
Bula salam,BU13,3170,13,Close
Bula salam,BU14,3170,14,Close
Bula salam,BU15,3170,15,Close
Bula salam,BU16,3170,16,Close
Bula salam,BU17,3170,17,Close
Bula salam,BU18,3170,18,Close
Bula salam,BU19,3170,19,Close
Jarirot,JA1,3182,1,Far
Jarirot,JA2,3182,2,Far
Jarirot,JA3,3182,3,Far
Jarirot,JA4,3182,4,Far
Jarirot,JA5,3182,5,Far
Jarirot,JA6,3182,6,Far
Jarirot,JA7,3182,7,Far
Jarirot,JA8,3182,8,Far
Jarirot,JA9,3182,9,Far
Jarirot,JA10,3182,10,Far
Jarirot,JA11,3182,11,Far
Jarirot,JA12,3182,12,Far
Jarirot,JA13,3182,13,Far
Jarirot,JA14,3182,14,Far
Jarirot,JA15,3182,15,Far
Jarirot,JA16,3182,16,Far
Jarirot,JA17,3182,17,Far
Jarirot,JA18,3182,18,Far
Jarirot,JA19,3182,19,Far
