data-start,data-end,data-today,data-intro,data-group1-consent,data-group1-coordinates,data-group1-coordinates-altitude,data-group1-coordinates-accuracy,data-group1-interviewer,data-group1-subcounty,data-group1-village,data-group2-gender,data-group2-age,data-group2-education,data-group2-career_g-career,data-group2-career_g-career_other,data-group2-resisdence_time,data-group2-birth_place,data-group2-farm_role,data-group2-ownership_by,data-group2-tenure,data-group2-farming_year,data-group2-river_dist,data-group2-farm_size,data-group2-landuse_g-landuse,data-group2-landuse_g-landuse_other,data-group2-crop_g-crop,data-group2-crop_g-crop_other,data-group3-invasion,data-group3-giraffe_action_g-giraffe_action,data-group3-giraffe_action_g-giraffe_action_other,data-group3-giraffe_attractants_g-giraffe_attractants,data-group3-giraffe_attractants_g-giraffe_attractants_other,data-group3-invasion_frq,data-group3-invasion_time,data-group3-invasion_trend,data-group3-income_impact,data-group3-harvest1,data-group3-harvest2,data-group4-reduc_imp,data-group4-using_measure,data-group4-measures_g-measures,data-group4-measures_g-measures_other,data-group3.1-effectiveness1,data-group3.1-effectiveness2,data-group3.1-effectiveness3,data-group3.1-effectiveness4,data-group3.1-effectiveness5,data-group3.1-effectiveness6,data-group3.1-effectiveness7,data-effectiveness_thoughts-eff_resn1,data-effectiveness_thoughts-eff_resn2,data-effectiveness_thoughts-eff_resn3,data-effectiveness_thoughts-eff_resn4,data-effectiveness_thoughts-eff_resn5,data-effectiveness_thoughts-eff_resn6,data-effectiveness_thoughts-eff_resn7,data-effectiveness_thoughts-eff_resn8,data-effectiveness_thoughts-eff_resn9,data-effectiveness_thoughts-eff_resn10,data-effectiveness_thoughts-eff_resn11,data-effectiveness_thoughts-eff_resn12,data-effectiveness_thoughts-eff_resn13,data-effectiveness_thoughts-eff_resn14,data-impro_mtd,data-impro_mtd1,data-try_new,data-new_mtd,data-trial_resn_g-trial_resn,data-trial_resn_g-trial_resn_other,data-bar_new_g-bar_new,data-bar_new_g-bar_new_other,data-sol_appr_g-sol_appr,data-sol_appr_g-sol_appr_other,data-req_try_new_g-req_try_new,data-req_try_new_g-req_try_other,data-lead_training_g-lead_training,data-lead_training_g-lead_training_other,data-time_training-time_training,data-time_training-pick_day,data-mgt_plc_g-mgt_plc,data-mgt_plc_g-mgt_plc_other,data-group5-do_repo,data-group5-no_repo_why_g-no_repo_why,data-group5-no_repo_why_g-no_repo_other,data-group5-repo_where,data-group5-repo_how_g-repo_how,data-group5-repo_how_g-repo_how_other,data-group5-past_repo,data-group5-issu_addr,data-group5-feedback,data-group5-sat_fdbck_g-sat_fdbck,data-group5-sat_fdbck_g-sat_fdbck_other,data-group5-receive_info,data-group5-receiving_CH_g-receiving_CH,data-group5-receiving_CH_g-receiving_CH_other,data-group5-interested_knowing,data-group5-receiving_CH1_g-receiving_CH1,data-group5-receiving_CH1_g-receiving_CH1_other,data-group5-advice_g-advice,data-group5-advice_g-advice_other,data-group6-conservation,data-group6-group6.1-cons_yes1,data-group6-group6.1-cons_yes2,data-group6-group6.1-cons_yes3,data-group6-group6.1-cons_yes4,data-group6-group6.1-cons_yes5,data-group6-group6.2-cons_no1,data-group6-group6.2-cons_no2,data-group6-group6.2-cons_no3,data-group6-group6.2-cons_no4,data-group6-part_in_conser,data-group6-invol_inst,data-group6-aware_pa,data-group6-prot_area,data-group6-prot_area_other,data-group6-cons_org_g-cons_org,data-group6-cons_org_g-cons_org_other,data-group6-group6.3-cons_feeling1,data-group6-group6.3-cons_feeling2,data-group6-group6.3-cons_feeling3,data-group6-group6.3-cons_feeling4,data-group6-group6.3-remarks,data-meta-audit,data-meta-instanceID
05/01/22 12:11,05/01/22 12:45,05/01/22, ,yes,"-0.4111596,39.6322991",120.7,4.85,owino,garissa,bula_adc,male,40 to 49,primary,farmer, ,beyond_20 years,yes,owner,inherited,community,1991_2000,less_1km,less_5Ha,agriculture, ,"mangoes, lemons, others, bananas",Quava,yes,"destroy_crops, destroy_property", ,crops, ,dry,"dawn, dusk, night",increase,partial_loss,3 sacks,1 sack,extremely_important,no, , , , , , , , , , , , , , , , , , , , , , , , , ,extreme_interest,Gun scare,"neighbour_uses, kws_use", ,"outlawed, expensive_equipment, financial_constraints, lack_knowledge, don't_know_other_methods", ,"farmers_association, government_institutions, ngss", ,"permission, training, information, technical_support, financial_support", ,"farmer, local_govt, conservation_org", ,morning_weekend,sunday,others,Central place close to farms,no,I_don't_know_where, , , , ,no, , ,"prevention, others",Authorities to come help,no, , ,extreme_interest,"community_meeting, newspaper, radio, others",Phone  calls,family, ,yes,agree,strongly_disagree,strongly_agree,disagree,agree, , , , ,no, ,no, , ,kws, ,no_opinion,agree,no_opinion,agree, ,https://drive.google.com/open?id=1Mjj9nnHLEtGjjLE6wzDIb4ljyri1bdHS,uuid:db154284-bffe-46e0-a05f-4f004aca4fb2
05/01/22 16:50,05/01/22 17:33,05/01/22, ,yes,"-0.3896981,39.6083221",129.4,3.58,owino,garissa,raya,male,50 to 59,informal,farmer, ,beyond_20 years,yes,owner,first_come,community,1991_2000,less_1km,less_5Ha,agriculture, ,"lemons, mangoes, others",Guava,yes,"destroy_property, destroy_crops", ,"water, crops", ,dry,night,increase,partial_loss,20,5,extremely_important,yes,"fence, guard, fire", ,Highly,extremely, ,moderately, , , ,Prevents entry, ,Chases the giraffe away, , , ,They still come, , , , , , , ,yes,Increase live guard,extreme_interest,I don't know any other,others,I don't have any particular one but I am open to trying any new effective methods,"expensive_equipment, financial_constraints, don't_know_other_methods", ,"Indivudually, farmers_association, ngss, government_institutions", ,"information, technical_support, financial_support, training", ,farmer, ,morning_weekend,sunday,farm, ,no,nothing_happens, , , , ,yes,no,not_satisfied,prevention, ,no, , ,extreme_interest,community_meeting, ,others,Farm chairperson,yes,strongly_agree,agree,strongly_agree,disagree,strongly_agree, , , , ,no, ,yes,"ggc, rnr", ,kws, ,strongly_agree,strongly_agree,strongly_disagree,agree, ,https://drive.google.com/open?id=1d9MuM34YGUCJnSZWXmHHQseg3msjCP6l,uuid:e4a283e5-1e67-4ecc-bbf3-5b39ccc73f26
05/01/22 17:54,05/01/22 18:27,05/01/22, ,yes,"-0.3899473,39.6072228",125.4,4.1,owino,garissa,raya,male,60 or older,informal,"farmer, others",Ex government official vet,beyond_20 years,no,owner,first_come,community,1991_2000,less_1km,less_5Ha,"agriculture, grazing", ,"mangoes, bananas, lemons, others",Guava,yes,"destroy_crops, destroy_property", ,crops, ,dry,"dawn, dusk, night",increase,no_loss,Variable up to 50,No change,not important,yes,"fence, guard, fire", ,extremely,extremely, ,moderately, , , ,Prevent entry, ,Chase giraffe, , , ,Indicate presence of human, , , , , , , ,no, ,no_interest, , , ,accustomed_to_current_methods, ,Indivudually, ,others,I am okay with the things I use,"farmer, local_govt, conservation_org", ,morning_weekend,saturday,farm, ,no,nothing_happens, , , , ,yes,no,not_satisfied,prevention, ,yes,"community_meeting, radio", ,extreme_interest,"radio, community_meeting", ,others,Chairperson,yes,disagree,disagree,disagree,strongly_disagree,strongly_disagree, , , , ,no, ,yes,"bec, ggc", ,"kws, nrt", ,disagree,disagree,agree,disagree, ,https://drive.google.com/open?id=1qGp_5LlShODMLx8wBz5O1Osyh6KAylxH,uuid:9e7b1966-9cfe-4738-b5cc-bff6fce5b2bf
08/01/22 16:57,08/01/22 17:44,08/01/22, ,yes,"-0.5101433,39.65163",115.2000046,4.7,owino,garissa,bour_algy,male,18 to 28,primary,laborer, ,more_than_5_but_less_10 years,no,attendant, ,individual,don't know,less_1km,less_5Ha,agriculture, ,"mangoes, vegetable, melon, lemons", ,yes,"destroy_crops, destroy_property", ,crops, ,dry,"night, dawn",increase,partial_loss,5000kg,1000kgs,very_important,yes,fence, ,not, , , , , , , ,Giraffe breaks fences, , , , , , , , , , , , ,yes,Employ live guard,extreme_interest,Live guard,"available, easy_use", ,financial_constraints, ,Indivudually, ,financial_support, ,"conservation_org, local_govt, farmer", ,afternoon_weekend,sunday,farm, ,no, , , , , ,no, , ,compensation, ,no, , ,extreme_interest,community_meeting, ,owner, ,yes,strongly_agree,strongly_agree,agree,no_opinion,agree, , , , ,no, ,no, , ,kws, ,agree,agree,strongly_disagree,agree, ,https://drive.google.com/open?id=1tJ8h25Ank_1-lxuTRHXQKSdtpxocw7qI,uuid:5e72a3e3-d215-4c9f-a577-52e296929283
11/01/22 15:19,11/01/22 15:44,11/01/22, ,yes,"-0.515325,39.6615717",137.5,4.2,owino,garissa,bour_algy,male,60 or older,primary,laborer, ,more than_10_but_less_15_years,no,attendant, ,community,1981_1990s,less_1km,less_5Ha,agriculture, ,"mangoes, bananas, lemons, melon, vegetable", ,yes,destroy_crops, ,crops, ,dry,"dawn, dusk, night",increase,partial_loss,NA,NA,extremely_important,yes,"fence, guard, fire, others",Flashlight,Highly,moderately, ,not, , ,Highly,Bar entry for giraffe, ,Chase giraffe, , , , ,They still come regardless, , , , ,Indicate presence of human, ,yes,Better fence,extreme_interest,Wire fencing,"neighbour_uses, available", ,accustomed_to_current_methods, ,Indivudually, ,information, ,"conservation_org, local_govt", ,morning_weekend,saturday,farm, ,yes, , ,kws,verbally_in-person, ,yes,no,not_satisfied,"prevention, compensation", ,no, , ,extreme_interest,"community_meeting, radio", ,owner, ,yes,strongly_agree,agree,strongly_agree,agree,agree, , , , ,no, ,yes,ggc, ,kws, ,agree,agree,strongly_disagree,agree, ,https://drive.google.com/open?id=1AZ_5JkT7mm6lL1SHBSXGG9UhjzsRTEV0,uuid:f1b5c518-13f9-4a76-9d23-8fcd35380586
11/01/22 09:09,11/01/22 09:31,11/01/22, ,yes,"-0.4783592,39.6479067",121.2,4.22,owino,garissa,bula_gem,male,40 to 49,secondary,"farmer, government_employee", ,beyond_20 years,yes,owner,first_come,community,1981_1990s,less_1km,less_5Ha,agriculture, ,"mangoes, vegetable, lemons, bananas", ,yes,"destroy_crops, destroy_property", ,"crops, river", ,dry,night,don't_know,total_loss,5 sacks,0,very_important,yes,"fence, guard, fire", ,moderately,moderately, ,not, , , ,Bars giraffe but they break it, ,Chases them away, , , , ,It is dangarous to even the farm, , , , , , ,yes,Using electric fence,extreme_interest,Live wire,"available, easy_use", ,"expensive_equipment, outlawed", ,government_institutions, ,"technical_support, permission", ,"conservation_org, local_govt, farmer", ,afternoon_weekend,saturday,farm, ,yes, , ,kws,verbally_in-person, ,yes,no,not_satisfied,prevention, ,yes,conservation_org, ,extreme_interest,community_meeting, ,others,Agricultural officers,yes,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree, , , , ,yes,govt,yes,ihcc, ,kws, ,strongly_agree,agree,strongly_disagree,strongly_agree, ,https://drive.google.com/open?id=1cF4GhWu_SNmMPuyHDlPPIHA77tOc96Fe,uuid:03e384cb-1d19-49cd-8550-09a7cf6bfcd7
11/01/22 14:24,11/01/22 14:40,11/01/22, ,yes,"-0.5200539,39.6638459",116.5,4.8,owino,garissa,bour_algy,male,29 to 39,college,"farmer, conservationist", ,beyond_20 years,yes,owner,inherited,community,2011_2020,less_1km,More_20Ha,agriculture, ,"mangoes, bananas, vegetable, melon, lemons", ,yes,destroy_crops, ,crops, ,dry,night,increase,total_loss,100,30,extremely_important,yes,"fence, guard, fire, propellas", ,not,moderately, ,moderately, ,moderately, , ,They break fences,Chase away giraffe using flashlight, , , ,Giraffe are afraid of fire, , , ,It think they are human, , , ,yes,Install better fence ' use lights employ more guards,extreme_interest,Motion sensor lights,available, ,"financial_constraints, expensive_equipment", ,"farmers_association, Indivudually", ,"financial_support, training, technical_support, information", ,conservation_org, ,morning_weekend,saturday,farm, ,yes, , ,"chief_office, kws",verbally_in-person, ,yes,no,not_satisfied,"compensation, prevention", ,no, , ,moderate_interest,community_meeting, ,"local_govt, family", ,yes,strongly_agree,strongly_agree,strongly_agree,agree,agree, , , , ,yes,community,yes,"ggc, bec, anr, rnr, ihcc", ,"kws, hcp", ,strongly_agree,strongly_agree,strongly_disagree,strongly_agree, ,https://drive.google.com/open?id=1tz7RaCr5_iy8VWReyblgqxDxaiuWxXQT,uuid:2f4951f2-f7a7-4415-973e-19f18f739412
12/01/22 11:22,12/01/22 11:37,12/01/22, ,yes,"-0.5889425,39.7152831",96.8,4.35,owino,garissa,jarirot,male,29 to 39,primary,laborer, ,less_than_5_years,no,attendant, ,community,don't know,less_1km,6_10Ha,agriculture, ,"mangoes, bananas, vegetable, melon, lemons, others",Guava,yes,destroy_crops, ,crops, ,dry,"night, dawn",increase,total_loss,1 pick up truck,Less than a sack,extremely_important,yes,guard, , ,moderately, , , , , , , ,Chase them away, , , , , , , , , , , ,yes,Increase manpower,extreme_interest,Not sure, , ,"don't_know_other_methods, financial_constraints", ,Indivudually, ,information, ,conservation_org, ,morning_weekend,saturday,farm, ,yes, , ,owner,verbally_in-person, ,no, , ,prevention, ,no, , ,extreme_interest,"radio, community_meeting", ,owner, ,yes,strongly_agree,agree,strongly_agree,no_opinion,agree, , , , ,no, ,no, , ,kws, ,agree,agree,disagree,agree, ,https://drive.google.com/open?id=1512ntIX1kccPlIPuNj7IHGANxPMQ_YVC,uuid:480eac2c-0466-495f-8638-3d98aac6d493
12/01/22 12:36,12/01/22 12:51,12/01/22, ,yes,"-0.5803374,39.7014764",101.7,4.733,owino,garissa,jarirot,male,29 to 39,secondary,laborer, ,more_than_5_but_less_10 years,no,attendant, ,individual,don't know,more_than_1km_but_less_than_2km,less_5Ha,agriculture, ,"mangoes, bananas, lemons, melon, vegetable", ,yes,destroy_crops, ,"crops, water", ,dry,night,increase,partial_loss,No idea, ,extremely_important,yes,"fence, guard", ,not,Highly, , , , , , ,Live porous fence,Chase giraffe, , , , , , , , , , , ,no, ,extreme_interest,I have no idea, , ,don't_know_other_methods, ,Indivudually, ,"information, training", ,conservation_org, ,morning_weekend,sunday,school, ,no,I_don't_know_where, , , , ,no, , ,prevention, ,no, , ,extreme_interest,conservation_org, ,owner, ,yes,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree, , , , ,no, ,no, , ,kws, ,strongly_agree,strongly_agree,strongly_disagree,strongly_agree, ,https://drive.google.com/open?id=14qFUU5x8Ea0LIgrE1enSL8qFqW7ZbQX1,uuid:8368f5a5-8fc9-47c8-9f81-76bfef57bbd4
13/01/22 09:48,13/01/22 10:01,13/01/22, ,yes,"-0.5360214,39.6790216",77.8,4.866,owino,garissa,bour_algy,male,18 to 28,secondary,laborer, ,less_than_5_years,no,attendant, ,individual,don't know,more_than_1km_but_less_than_2km,6_10Ha,agriculture, ,"mangoes, bananas, melon, lemons", ,yes,destroy_crops, ,crops, ,dry,night,increase,partial_loss,Don't know,Donk know,very_important,yes,"fence, guard", ,not,moderately, , , , , , ,They break through fences,Giraffes still return even after being chased, , , , , , , , , , , ,yes,Wire fencing,extreme_interest,Wire fencing,neighbour_uses, ,"expensive_equipment, financial_constraints", ,Indivudually, ,technical_support, ,conservation_org, ,morning_weekend,sunday,farm, ,no,nothing_happens, , , , ,no, , ,prevention, ,no, , ,extreme_interest,"community_meeting, conservation_org, radio", ,owner, ,yes,strongly_agree,agree,strongly_agree,agree,agree, , , , ,no, ,yes,ggc, ,kws, ,strongly_agree,strongly_agree,strongly_disagree,strongly_agree, ,https://drive.google.com/open?id=1ZcrudYMP0so1bvl6xuv1B8CfuSh9kHrg,uuid:c52e68a0-20a2-461f-a0f2-18fdff44d1b0
